Code;Nom;Type-de-retenue;Région;Département;Commune;Rivière;Date-construction;Lat;Lon;Lat. barrage;Long. Barrage;Lat. retenue;Long. Retenue;hauteur (m);Volume_Mm3;superficie_ha;Sbassin amont (km²);altitude_mNGF;Maitre-ouvrage_exploitant;Usages
179;Flumet;réservoir artificiel;Auvergne-Rhône-Alpes;Isère;Allevard;?;1980;45,3852;6,06667;45,385167;6,066671;45,382831;6,062702;16;4,8;68;8,45;501;EDF;Hydroélectricité
180;Fontbonne;à déterminer;Occitanie;Tarn;Sainte-Gemme;Ceret;1906;44,0881;2,21;;;;;15,5;1,25;14;32;306;EDF;Hydroélectricité
181;Fontbouysse;à déterminer;Occitanie;Lot;Saint-Cyprien;Monsembosc;1985;44,3194;1,27222;;;;;15;0,54;9,5;?;?;Commune De Monclar-de-quercy;Alimentation en eau/Loisirs
182;Fontet;à déterminer;Nouvelle Aquitaine;Lot-et-Garonne;Guérin;Fontet;?;44,4297;0,0644444;;;;;16;0,031;0,4;0,26;;Earl De Barri;?
183;Forest Saint-Julien Saint-Laurent;"Type ""classique""";PACA;Hautes Alpes;Forest-Saint-Julien;Riou Gras;1976;44,6289;6,12944;44,62902;6,129487;44,628661;6,129712;16,2;0,1;2;3;?;Asa D'irrigation Par Aspersion De Saint Laurent Du Cros;Irrigation
184;Fous;"Type ""classique"" encaissé";PACA;Alpes Maritimes;Belvédère;Gordolasque;1969;44,1008;7,39722;44,100687;7,397051;44,101123;7,397056;20,5;0,283;4,7;8;2200;EDF;Hydroélectricité
185;Freney;;Auvergne-Rhône-Alpes;Savoie;Freney;Arc;1971;45,1933;6,63361;;;;;16,5;0,225;3;?;?;?;Hydroélectricité
186;Gabas;"Retenue ""classique""";Nouvelle Aquitaine;Pyrénées-Atlantiques;Eslourenties-Daban;Le Gabas;2007;43,29;-0,143056;43,290694;-0,142391;43,288086;-0,140331;27;20;213;?;361;CACG;Irrigation / Alimentation en eau / Loisirs
187;Gabassot;"Retenue ""classique""";Nouvelle Aquitaine;Pyrénées-Atlantiques;Garlin;Gabassot;2004;43,5514;-0,264167;43,551117;-0,264266;43,549834;-0,265114;19,5;3,2;40,4;?;159;CACG;Irrigation
188;Gage;;Auvergne-Rhône-Alpes;Ardèche;Cros-de-Géorand;Le Gage;1967;44,7997;4,09694;;;;;39,6;3,41;22;41;1011,6;EDF;Hydroélectricité
189;Galage;à déterminer;Occitanie;Haute-Garonne;Sainte-Foy-de-Peyrolières;Galage;1986;43,4971;1,1311;;;;;10,7;1,1;28,5;9;238;Conseil Départemental Du Gard;Crues/Alimentation en eau/Irrigation/Loisirs
190;Galaube;"Retenue ""classique""";Occitanie;Tarn;Arfons;Alzeau;2000;43,4036;2,22611;43,403488;2,226375;43,404719;2,228735;34,3;8,05;65;21,4;723;institution des eaux de la montagne noire;navigation
191;Galens;"Retenue ""classique""";Occitanie;Aveyron;Soulages-Bonneval;La Selves;1967;44,6592;2,75556;44,659515;2,755561;44,659454;2,75665;18,5;2,3;490;67;830;EDF;Hydroélectricité
192;Ganet;à déterminer;Nouvelle Aquitaine;Lot-et-Garonne;Galapian;Labernede;1977;44,2931;0,429722;;;;;15;1;18,7;9,4;83;Asa Aiguillon Galapian Lagarrigue;Irrigation
193;Ganguise;"Retenue ""classique""";Occitanie;Aude;Gourvieille;Ganguise;2007;43,3283;1,78944;43,328048;1,79008;43,325301;1,795229;34;44,6;400;28,4;238;Conseil régional/BRL;Navigation/Irrigation
194;Gannes;;Auvergne-Rhône-Alpes;Allier;Durdat-Larequille;Banny;1908;46,2464;2,72583;;;;;23;1,15;11;12;436,9;Commune de Commentry;Alimentation en eau
195;Garrabet;"retenue ""linéaire"" - vallée de rivière";Occitanie;Ariège;Mercus-Garrabet;Ariège;1985;42,8933;1,63083;42,893202;1,630632;42,892444;1,630552;37;3,4;44;1235;461;SHEM;Hydroélectricité
196;Gaschet;"Retenue ""classique""";DOM-TOM;Guadeloupe;Port-Louis;Ravine Gaschet;?;16,4128;-61,4928;16,412915;-61,492723;16,413471;-61,491629;14,0;2,5;61,5;?;14;Conseil Départemental De La Guadeloupe;?
197;Geignes;à déterminer;Occitanie;Tarn;Maurens-Scopont;Geignes;?;43,5944;1,82889;;;;;16,2;1,075;17,7;6;200;EDF;Hydroélectricité
198;Génissiat;"retenue ""linéaire"" - vallée de rivière";Auvergne-Rhône-Alpes;Haute-Savoie;Franclens;Le Rhône;1948;46,0522;5,81306;46,052666;5,813041;46,05417;5,813384;99,7;72;400;10910;335,7;CNR;Hydroélectricité
199;Gimond;;Auvergne-Rhône-Alpes;Rhône;Pomeys;Gimond;1925;45,6608;4,44222;;;;;15;0,343;6;4,55;658,8;?;Alimentation en eau / Loisirs
200;Gimone;"Retenue ""classique""";Occitanie;Gers;Saint-Blancard;La Gimone;1991;43,3375;0,68;43,337501;0,680021;43,335223;0,677489;29;25;230;40;271;EDF/ exploitation CACG;Irrigation/compensation évaporation Golfech
201;Girotte;"Retenue ""classique""";Auvergne-Rhône-Alpes;Savoie;Hauteluce;Dorinet;1949;45,7653;6,64587;45,765134;6,646557;45,762454;6,647974;45,5;51;78;5,2;1754;EDF;Hydroélectricité
202;Gittaz;;Auvergne-Rhône-Alpes;Savoie;Beaufort;Gittaz;1968;45,7111;6,64636;;;;;65;13,6;39;20,2;1564;EDF;Hydroélectricité
203;Gloriettes;à déterminer;Occitanie;Hautes-Pyrénées;Gèdre;Estaube;1952;42,7525;0,0502778;42,752825;0,050388;42,752114;0,049624;42,8;2,7;13,5;54;1667;EDF;Irrigation
204;Gnioure;"Retenue ""classique""";Occitanie;Ariège;Lercoul;Siguer;1950;42,7025;1,52889;42,702459;1,529286;42,700015;1,530122;68;28,4;70;18;1832;EDF;Hydroélectricité/soutien d’étiage/loisirs
205;Golinhac;"retenue ""linéaire"" - vallée de rivière";Occitanie;Aveyron;Golinhac;Lot;1960;44,5783;2,63778;44,578604;2,637891;44,5781;2,638749;32,5;5,1;50;1905;312;?;Irrigation/Alimentation en eau
206;Gouët;"retenue ""linéaire"" - vallée de rivière";Bretagne;Côte d'Armor;Ploufragan;Gouet;1978;48,5042;-2,82889;48,50394;-2,82875;48,503356;-2,829758;37;7,9;81;197;89;?;Alimentation en eau , hydroélectricité
207;Gouffre d'enfer;;Auvergne-Rhône-Alpes;Loire;Planfoy;Le Furan;?;45,3931;4,44583;;;;;53;1,105;8;23;786,5;?;Alimentation en eau / Crues
208;Goulours;à déterminer;Occitanie;Ariège;Ascou;La Lauze;1946;42,7233;1,88556;42,723095;1,885553;42,723529;1,886786;21,5;0,4;6,4;47;1081;Commune De La Romieu;Loisirs
209;Gour Noir;à déterminer;Nouvelle Aquitaine;Corrèze;Saint-Julien-aux-Bois;La Maronne;1946;45,0828;2,13917;;;;;38;5,2;37;630;370;EDF;Hydroélectricité
210;Gouyre;"Retenue ""classique""";Occitanie;Tarn-et-Garonne;Bruniquel;Gouyre;1989;44,0553;1,63833;44,055593;1,604951;44,053311;1,604393;19,5;3,4;61;22;129;ASAI Gouyre Tordre Gagnol;Irrigation
211;Grand'Maison;"Retenue ""classique""";Auvergne-Rhône-Alpes;Isère;Vaujany;Eau D'olle;1988;45,2064;6,11694;45,205859;6,117535;45,205935;6,123329;140;137;219;50;1700;EDF;Hydroélectricité
212;Grande Rhue;"Retenue ""classique""";Auvergne-Rhône-Alpes;Cantal;Montboudif;Grande Rhue;1927;45,3501;2,72778;45,349783;2,727784;45,349173;2,728192;43;3,65;370;369;693;?;Hydroélectricité
213;Grande Patures;à déterminer;Auvergne-Rhône-Alpes;Cantal;Montboudif;Le Rialet;1950;45,3501;2,72778;;;;;20;1,63;19;2,2;1228;EDF;Alimentation en eau/Loisirs
214;Grandval;"retenue ""linéaire"" - vallée de rivière";Auvergne-Rhône-Alpes;Cantal;Lavastrie;La Truyère;1959;44,9225;3,07528;44,922312;3,074688;44,920868;3,076813;79;270,6;1100;1782;744,5;EDF;Hydroélectricité
215;Grangent;"retenue ""linéaire"" - vallée de rivière";Auvergne-Rhône-Alpes;Loire;Chambles;La Loire;1957;45,4669;4,24793;45,466951;4,24838;45,465717;4,248637;54;57,4;365;3850;422;EDF;Hydroélectricité
216;Graon;"retenue ""linéaire"" - vallée de rivière";Pays-de-la-Loire;Vendée;Saint-Vincent-sur-Graon;Le Graon;1973;46,5175;-1,38361;46,517603;-1,38368;46,51877;-1,383937;20;3,6;68;33;35,5;?;Alimentation en eau/Crues
217;Greoux;"Retenue ""classique""";PACA;Var;Saint-Julien;Le Verdon;1967;43,7503;5,92694;43,750583;5,927162;43,750133;5,930381;54;78,55;329;1820;364;EDF;Hydroélectricité/Irrigation/Alimentation en eau/Loisirs
218;Gréziolles;à déterminer;Occitanie;Hautes-Pyrénées;Bagnères-de-Bigorre;Adour de garet;1952;42,8917;0,198333;42,891417;0,198362;42,890081;0,198179;29,3;4,4;20;7,2;2116;EDF;Hydroélctricité
219;Grosbois 1;"Retenue ""classique""";Bourgogne-France-Comté;Côte d'Or;Grosbois-en-Montagne;Brenne;?;47,3136;4,60306;47,313758;4,602776;47,309627;4,607583;22,3;8;90;30;402,49;VNF;navigation, Alimentation en eau
220;Grosbois 2;;Bourgogne-France-Comté;Côte d'Or;Grosbois-en-Montagne;Brenne;1905;47,3117;4,60528;;;;;17,7;0,9;15;30;396,77;VNF;navigation, Alimentation en eau
221;Gué Gorand;;Pays-de-la-Loire;Vendée;Coëx;Gue Gorand;1990;46,7069;-1,80583;;;;;15;1;25;15,5;30;Communauté De Communes De Saint Gilles Croix De Vie / Saur;Irrigation/Crues
222;Guerlédan;"retenue ""linéaire"" - vallée de rivière";Bretagne;Morbihan;Saint-Aignan;Blavet;1929;48,195;-3,01806;48,194767;-3,017693;48,197713;-3,018294;45;51,2;320;620;124,52;EDF;Hydroélectricité
223;Hagetmau Monségur;"Retenue ""classique""";Nouvelle Aquitaine;Landes;Hagetmau;Grabe;1991;43,6383;-0,575833;43,638272;-0,575857;43,636781;-0,573798;16;2,5;54,5;15,2;115;CACG;Irrigation / Alimentation en eau
224;Haut Veyton (Lac du Carré);;Auvergne-Rhône-Alpes;Isère;Allevard;Veyton;1959;45,3489;6,15639;;;;;15,2;0,108;2;14;1591;ASCOMETAL;Hydroélectricité
225;Haute Vilaine;"retenue ""linéaire"" - vallée de rivière";Bretagne;Ille et Vilaine;la Chapelle-Erbrée;La Vilaine;1983;48,1453;-1,12722;48,14546;-1,12717;48,147894;-1,123565;16;7,2;142;120;92,5;?;Crues / Alimentation en eau / loisirs
226;Hautefage;"retenue ""linéaire"" - vallée de rivière";Nouvelle Aquitaine;Corrèze;Sexcles;La Maronne;1958;45,0644;1,99861;45,064354;1,998551;45,065839;1,999323;51,75;27;115;755;250;EDF;Hydroélectricité
227;Hermillon (canal d'hermillon);Digue canal;Auvergne-Rhône-Alpes;Savoie;Saint-Julien-Mont-Denis;Arc;1974;45,2458;6,42975;;;;;18,5;0,4;digue canal;?;685,5;EDF;Hydroélectricité
228;Isère;"retenue ""linéaire"" - fil de l'eau";Auvergne-Rhône-Alpes;Drôme;Roche-de-Glun;Le Rhône;1969;44,9838;4,85732;44,983811;4,857375;44,984;4,86;16,4;37,0;fil de l'eau;?;?;CNR;Hydroélectricité
