code;libelle;etat;insee_commune;nom_commune;mo_raison_sociale;x;y;precision_coord;categorie;puissance_maximum;productible_moyen;debit;coef_energetique;nb_turbines;type_turbine;titre;date_echeance_titre;hauteur_de_chute
46191002;MERCUES 1;EXPL;46191;Mercuès                                           ;SOC HYDRAULIQUE ETUDES MISSIONS ASSIST;572167;6378620;0;Ouvrage fonctionnant au fil de l'eau;1,7;6907858;50;;6;Kaplan horizont. & bulbe à pâles mobiles;Concédée (autorisable);31/12/2035;3,55
46198001;MONTBRUN;EXPL;46198;Montbrun                                          ;SOCIETE HYDRO ELECTRIQUE DU MIDI;613099;6378410;0;Ouvrage fonctionnant au fil de l'eau;2,6;6355073;70;;2;Kaplan;Concédée;26/04/2025;3,7
46225001;MEYMES;EXPL;46225;Prayssac                                          ;SOCIETE HYDRO ELECTRIQUE DU MIDI;554789;6379870;0;Ouvrage fonctionnant au fil de l'eau;3,9;16045935;110;;3;Kaplan;Concédée;01/01/2003;3,7
46225002;Centrale de Floiras;EXPL;46225;Prayssac                                          ;FLOIRAS ENERGIE ET COMPAGNIE;556530;6376060;0;Ouvrage fonctionnant au fil de l'eau;2;8352225;;;;;Concédée (autorisable);;3,4
46231001;Centrale du Vieux Moulin;EXPL;46231;Puy-l'Évêque                                      ;SOCIETE D'EXPLOITATION HYDROELECTRIQUE DU MASSIF CENTRAL;551517;6380240;0;Ouvrage fonctionnant au fil de l'eau;;9717459;;;;;;;3,44
46231002;Moulin de Grimard;EXPL;46231;Puy-l'Évêque                                      ;PRODUCTIONS DECREMPS;549950;6380680;0;Ouvrage fonctionnant au fil de l'eau;1,3;4826066;;;;;;;2
46276001;Centrale de St Martin Labouval;EXPL;46276;Saint-Martin-Labouval                             ;LESPIAU ET COMPAGNIE;597440;6374700;0;Ouvrage fonctionnant au fil de l'eau;1,942;6254573;60;;;;Concédée (autorisable);31/12/2026;3
46286001;MARTINET;HORS;46286;Saint-Paul-de-Vern                                ;ELECTRICITE DE FRANCE;616998;6418170;0;Ouvrage fonctionnant au fil de l'eau;0,228;;3,6;;2;Kaplan;;;6
46315001;Centrale de Manaval;EXPL;46315;Teyssieu                                          ;SOCIETE ELECTRIQUE DE MANAVAL;617932;6423060;0;Ouvrage fonctionnant au fil de l'eau;0,495;682757;0,9;;;;Autorisée;04/10/2041;60
46321001;Centrale de Touzac;EXPL;46321;Touzac                                            ;SOCIETE D'ELECTRICITE DE GUYENNE ET GASCOGNE;544991;6379760;0;Ouvrage fonctionnant au fil de l'eau;1,89;4526989;70;;;;Concédée (autorisable);;2,75
47004001;Moulin St Joseph;EXPL;47004;Aiguillon                                         ;SOCIETE HYDROELECTRIQUE DU MOULIN ST JOSEPH;488289;6359830;0;Ouvrage fonctionnant au fil de l'eau;1,2;4042693;;;;;;;2,9
47004002;Moulin de Pelagat;EXPL;47004;Aiguillon                                         ;SOCIETE D'ETUDE ET D'EXPLOITATIONS HYDRAULIQUES ET ELECTRIQUES;488156;6359970;0;Ouvrage fonctionnant au fil de l'eau;0,25;1968154;;;;;;;2,6
47043001;Centrale de La Cellulose de Buzet;EXPL;47043;Buzet-sur-Baïse                                   ;HYDROFAB;484916;6355019;0;Ouvrage fonctionnant au fil de l'eau;0,28;652050;;;;;;;2,76
47065001;Centrale de Clairac;EXPL;47065;Clairac                                           ;SOCIETE D'ELECTRICITE DE GUYENNE ET GASCOGNE;490954;6365510;0;Ouvrage fonctionnant au fil de l'eau;1,98;5883499;75;;;;Concédée (autorisable);;2,5
47106001;Centrale de Fumel;EXPL;47106;Fumel                                             ;FUMEL ENERGIE;537987;6378940;0;Ouvrage fonctionnant au fil de l'eau;18,6;25157392;;;;;Concédée;;7,5
47143001;Moulin de Lavardac;EXPL;47143;Lavardac                                          ;SOC HYDRO ELECTRIQUE D'ALBRET;484164;6346248;0;Ouvrage fonctionnant au fil de l'eau;;;;;;;;;
47145001;Moulin de Layrac;EXPL;47145;Layrac                                            ;S.A.R.L. LAYRAC ENERGIE;512605;6335520;0;Ouvrage fonctionnant au fil de l'eau;;389267;;;;;;;3,5
47174001;Moulin de Vialere;EXPL;47174;Moncrabeau                                        ;DEGRAEVE HENDRIK KAREL LUK;489927;6331150;0;Ouvrage fonctionnant au fil de l'eau;;626741;;;;;;;2,78
47283001;Moulin de St Vite;EXPL;47283;Saint-Vite                                        ;LE MOULIN DE SAINT-VITE;536116;6377270;0;Ouvrage fonctionnant au fil de l'eau;;1547553;;;;;;;2,73
47306001;TEMPLE;EXPL;47306;Le Temple-sur-Lot                                 ;ELECTRICITE DE FRANCE;500674;6369030;0;Ouvrage fonctionnant au fil de l'eau;19,7;65786480;294;0,024;3;Kaplan;Concédée;31/12/2030;10,7
47318001;Moulin de Vianne;EXPL;47318;Vianne                                            ;HYDRO ENERGIE;485976;6347710;0;Ouvrage fonctionnant au fil de l'eau;0,29;435675;;;;;;;2,44
47323001;VILLENEUVE SUR LOT;EXPL;47323;Villeneuve-sur-Lot                                ;ELECTRICITE DE FRANCE;518634;6369670;0;Ouvrage fonctionnant au fil de l'eau;28,9;93856680;280;0,03;2;Kaplan horizont. & bulbe à pâles mobiles;Concédée;31/12/2043;13
48001001;Centrale de Vergne;EXPL;48001;Albaret-le-Comtal                                 ;ARCELORMITTAL MEDITERRANEE;708224;6418830;0;Ouvrage fonctionnant au fil de l'eau;17,995;36572056;;;;;Concédée;;144
48016001;Le Villaret (Lot);HORS;48016;Balsièges                                         ;ENGELVIN TP RESEAUX;735279;6375750;0;Ouvrage fonctionnant au fil de l'eau;0,206;;;;;;;;1,75
48022001;Centrale de La Vernede;EXPL;48050;Bédouès-Cocurès                                   ;SOCIETE ELECTRIQUE DE LA VERNEDE;752463;6361950;0;Ouvrage fonctionnant au fil de l'eau;1,483;3384831;4,5;;;;;;33,6
48028001;Centrale de Ruas;EXPL;48028;Les Bondons                                       ;RUAS ELECTRICITE;752955;6364190;0;Ouvrage fonctionnant au fil de l'eau;0,65;1142364;0,472;;;;;;135
48037001;Centrale de Chadenet;EXPL;48037;Chadenet                                          ;SOCIETE DES CENTRALES DU LAC GLACE;749095;6380750;0;Ouvrage fonctionnant au fil de l'eau;0,8;1741225;1;;;;;;82
48049002;Le moulin du Villaret;EXPL;48099;Bourgs sur Colagne                                ;LES CHUTES DU VILLARET;720468;6381150;0;Ouvrage fonctionnant au fil de l'eau;0,044;185594;;;;;;;7,5
48073001;Centrale du Pont des Moulins;EXPL;48073;Les Hermaux                                       ;GASTON JEAN-PAUL ET YVETTE;711714;6375020;0;Ouvrage fonctionnant au fil de l'eau;0,441;1450298;;;;;;;32
48073002;Centrale de Tronquettes;EXPL;48073;Les Hermaux                                       ;CENTRALE DES TRONQUETTES;712216;6376680;0;Ouvrage fonctionnant au fil de l'eau;1,342;1979663;;;;;;;113
48088001;La Malène;EXPL;48088;La Malène                                         ;AU MOULIN DE LA MALENE;725826;6356050;0;Ouvrage fonctionnant au fil de l'eau;0,161;340553;;;;;;;2,2
48090001;Centrale du Ranc;EXPL;48090;Le Malzieu-Ville                                  ;ARCELORMITTAL MEDITERRANEE;725338;6418300;0;Ouvrage fonctionnant au fil de l'eau;1,5;5169717;;;;;;;19
48095001;Sirvens;EXPL;48095;Mende                                             ;ENGELVIN JL ET B;741951;6381470;0;Ouvrage fonctionnant au fil de l'eau;0,383;343229;6,5;;1;;Autorisée;21/09/2034;6
48111001;Centrale d'Eygas;EXPL;48111;Pelouse                                           ;COMMUNE DE PELOUSE;749487;6383660;0;Ouvrage fonctionnant au fil de l'eau;0,464;1122302;;;;;;;86
48111002;Varennes;EXPL;48111;Pelouse                                           ;CENTRALE DE LA MAUREILLE;746378;6383710;0;Ouvrage fonctionnant au fil de l'eau;0,158;280060;0,14;;;;;;115,5
48116001;Gour de l'Oule;EXPL;48116;Pont de Montvert - Sud Mont Lozère                ;S.C.I. DU GOUR DE L'OULE;759404;6362920;0;Ouvrage fonctionnant au fil de l'eau;0,1;350000;0,44;;;;Autorisée;;18
48128001;Pont de Basile;EXPL;48128;Rimeize                                           ;S.A.R.L. DU PRAT NAOU;727423;6408790;0;Ouvrage fonctionnant au fil de l'eau;0,361;598621;;;;;;;6,14
48132001;Centrale des Faux;EXPL;48132;Saint-Alban-sur-Limagnole                         ;FORCES MOTRICES DE LA LIMAGNOLE;733303;6411170;0;Ouvrage fonctionnant au fil de l'eau;0,13;584371;0,2;;;;;;65
48133001;Centrale de Salhens;EXPL;48133;Saint-Amans                                       ;SOCIETE DES SALHENS;736827;6398600;0;Ouvrage fonctionnant au fil de l'eau;0,485;2205692;;;;;;;102
48145001;Centrale du Crouzet;EXPL;48145;Saint-Denis-en-Margeride                          ;HUGONNET SARL;735316;6403360;0;Ouvrage fonctionnant au fil de l'eau;0,3;718703;;;;;;;50
48146001;Centrale de Prades;EXPL;48146;Gorges du Tarn Causses                            ;COMMUNE DE GORGES DU TARN CAUSSES;736302;6361470;0;Ouvrage fonctionnant au fil de l'eau;0,484;463664;;;;;;;1
48157001;St HELENE;EXPL;48157;Sainte-Hélène                                     ;SOC HYDRAULIQUE ETUDES MISSIONS ASSIST;748439;6380310;0;Ouvrage fonctionnant au fil de l'eau;0,6;2235911;1,8;;2;Hélice verticale;;31/12/2005;39
48175001;Centrale de Nogaret;EXPL;48175;Saint-Pierre-de-Nogaret                           ;GASTON;711574;6375750;0;Ouvrage fonctionnant au fil de l'eau;0,44;1095455;;;;;;;25
48185001;Centrale des Salelles;EXPL;48185;Les Salelles                                      ;S.N.C. LES SALELLES;720459;6376870;0;Ouvrage fonctionnant au fil de l'eau;1,3;3108668;;;;;;;12
48195001;Centrale des Vignes;EXPL;48094;Massegros Causses Gorges                          ;S.N.C. DU CAUSSE;718271;6353350;0;Ouvrage fonctionnant au fil de l'eau;0,458;1459115;;;;;;;2,7
63047001;LA BOURBOULE;EXPL;63047;La Bourboule                                      ;SOCIETE DE PRODUCTION ELECTRIQUE;678275;6499330;0;Ouvrage fonctionnant par éclusées;0,6;2076858;4;0,042;1;Francis;Autorisée;16/10/2034;20
63397001;St SAUVES;EXPL;63397;Saint-Sauves-d'Auvergne                           ;SOCIETE DE PRODUCTION ELECTRIQUE;676139;6500150;0;Ouvrage fonctionnant au fil de l'eau;0,3;510515;4;0,021;1;Francis double;Autorisée;16/10/2034;9,4
64006001;LESCUN;EXPL;64006;Accous                                            ;ELECTRICITE DE FRANCE;405096;6211690;0;Ouvrage fonctionnant au fil de l'eau;14,6;66607000;7,2;0,7;2;Pelton;Concédée;31/12/2005;331,2
64006002;EYGUN;EXPL;64006;Accous                                            ;ELECTRICITE DE FRANCE;405101;6211690;0;Ouvrage fonctionnant au fil de l'eau;10,5;47321312;5,2;0,41;2;Pelton;Concédée;31/12/2005;203
64008001;Centrale d'Eromateguy;EXPL;64008;Ahaxe-Alciette-Bascassan                          ;CARRIERES ET TRAVAUX DE NAVARRE;359719;6236740;0;Ouvrage fonctionnant au fil de l'eau;;891258;;;;;;;11,38
64058001;Centrale d'Arthez d'Asson;EXPL;64058;Arthez-d'Asson                                    ;SOCIETE HYDRO ELECTRIQUE DU MIDI;435173;6226400;0;Ouvrage fonctionnant au fil de l'eau;1,47;2634384;;;;;Concédée (autorisable);;15
64062001;Caü Amont;EXPL;64062;Arudy                                             ;LAPRADE ENERGIE S.A.S;419952;6229290;0;Ouvrage fonctionnant au fil de l'eau;2,126;6465093;22;;4;Hélice horizontale;Autorisée;31/12/2034;9,3
64062002;Caü Aval;EXPL;64062;Arudy                                             ;FILATURE D'OSSAU;419664;6229230;0;Ouvrage fonctionnant au fil de l'eau;1,4;5755733;16,6;;2;Francis;Autorisée;31/12/2034;9,6
64062003;Centrale des Tanneries;EXPL;64062;Arudy                                             ;S.A.R.L. SARRAILH ET FILS;421619;6229630;0;Ouvrage fonctionnant au fil de l'eau;0,201;2823238;7,2;;1;Kaplan;;;6,5
64062004;Centrale du stade (amont);EXPL;64062;Arudy                                             ;S.A.R.L. SARRAILH ET FILS;421053;6228930;0;Ouvrage fonctionnant au fil de l'eau;0,201;;7,2;;1;Kaplan;;;3,7
64064001;ASASP;EXPL;64064;Asasp-Arros                                       ;ELECTRICITE DE FRANCE;404862;6230080;0;Ouvrage fonctionnant au fil de l'eau;24,5;101208376;31;0,25;2;Francis;Concédée;31/12/2036;113
64069001;Centrale de Merville;EXPL;64069;Aste-Béon                                         ;SOCIETE HYDRO ELECTRIQUE DU MIDI;421170;6222740;0;Ouvrage fonctionnant au fil de l'eau;1,12;3749800;28;;2;Kaplan;;;4
64082001;Moulin d'Auterrive;EXPL;64082;Auterrive                                         ;CHE AUTERIVE;376429;6271470;0;Ouvrage fonctionnant au fil de l'eau;0,5;884811;15;;1;Kaplan;;;4,2
64085001;Centrale d'Aydius;EXPL;64085;Aydius                                            ;SOCIETE HYDROELECTRIQUE D'AYDIUS;411213;6217490;0;Ouvrage fonctionnant au fil de l'eau;3,248;;1,1;;1;Pelton;Autorisée;20/06/2025;301
64087001;BAIGTS;EXPL;64087;Baigts-de-Béarn                                   ;ELECTRICITE DE FRANCE;389342;6275440;0;Ouvrage fonctionnant au fil de l'eau;7;34684812;90;0,02;3;Kaplan;Concédée;31/12/2042;10,5
64087002;Centrale de Baigts (rive gauche ascenseur);EXPL;64087;Baigts-de-Béarn                                   ;ELECTRICITE DE FRANCE;389311;6275340;0;Ouvrage fonctionnant au fil de l'eau;0,905;;10;;1;Kaplan;;;9,2
64092001;BANCA;EXPL;64092;Banca                                             ;ELECTRICITE DE FRANCE;342998;6234740;0;Ouvrage fonctionnant au fil de l'eau;3;13049125;4,5;0,193;3;Francis;Autorisée;16/10/1994;106
64092002;Centrale des Anciennes Fonderies;EXPL;64092;Banca                                             ;SOCIETE SALMONICOLE CABILLON BANCA;343994;6235380;0;Ouvrage fonctionnant au fil de l'eau;;2269648;;;;;;;14
64092003;Centrale Aira;EXPL;64092;Banca                                             ;SARL MINABERRY;343143;6234140;0;Ouvrage fonctionnant au fil de l'eau;;1157221;;;;;;;43,5
64110001;Centrale de Listo;EXPL;64110;Béost                                             ;MOULIN DE LISTO;423534;6216350;0;Ouvrage fonctionnant au fil de l'eau;3;6894644;;;;;;;280
64127001;CASTET;EXPL;64127;Bielle                                            ;SOCIETE HYDRO ELECTRIQUE DU MIDI;421317;6225640;0;Ouvrage fonctionnant par éclusées;1,84;6447110;28;0,015;2;Kaplan horizont. & bulbe à pâles mobiles;Concédée (autorisable);31/12/2012;6,5
64127002;Centrale d'Aspeigt;EXPL;64127;Bielle                                            ;SARL DELORT SARTHOU;417437;6220020;0;Ouvrage fonctionnant au fil de l'eau;;1416866;;;;;;;261
64127003;Centrale de Bourdiou;EXPL;64127;Bielle                                            ;SARL DELORT SARTHOU;417257;6220880;0;Ouvrage fonctionnant au fil de l'eau;;1522802;;;;;;;219
64131001;Centrale de Biron Castetis;EXPL;64131;Biron                                             ;GOWATT;396782;6271140;0;Ouvrage fonctionnant au fil de l'eau;3,5;12349276;;;;;;;3
64132001;Centrale du Coy;EXPL;64132;Bizanos                                           ;THEODORE HEID FILS FRERES ET CIE;427566;6248780;0;Ouvrage fonctionnant au fil de l'eau;1,7;6661977;35;;;;Concédée (autorisable);;5
64136001;BORCE;EXPL;64136;Borce                                             ;ELECTRICITE DE FRANCE;407533;6203680;0;Ouvrage fonctionnant au fil de l'eau;1,7;5330625;1,4;0,295;1;Francis;Concédée;16/10/1994;150,5
64136002;FORGES d'ABEL;EXPL;64136;Borce                                             ;ELECTRICITE DE FRANCE;408448;6197420;0;Ouvrage fonctionnant par éclusées;5,8;13778000;4,5;0,32;1;Francis;Concédée;31/12/2044;161,3
64136003;ESTAENS;EXPL;64136;Borce                                             ;ELECTRICITE DE FRANCE;407009;6197180;0;Ouvrage de type Lac;2,4;2286313;0,8;0,93;1;Pelton;;31/12/2013;482,6
64136004;BARALET;EXPL;64136;Borce                                             ;ELECTRICITE DE FRANCE;408817;6204650;0;Ouvrage fonctionnant par éclusées;24,2;72388440;8,5;0,74;2;Francis double;Concédée;16/10/1994;330,1
64157001;St CRICQ;EXPL;64157;Buzy                                              ;ELECTRICITE DE FRANCE;415979;6230980;0;Ouvrage fonctionnant au fil de l'eau;9,8;44463500;18;0,146;2;Francis;Concédée;31/12/2002;69,6
64185001;Centrale de la Vallee d'Aspe;EXPL;64185;Cette-Eygun                                       ;SOCIETE HYDROELECTRIQUE DE LA VALLEE D'ASPE;407536;6210020;0;Ouvrage fonctionnant au fil de l'eau;2,561;7029192;0,473;;;;Autorisée;;462
64187001;Centrale de Charritte de Bas;EXPL;64187;Charritte-de-Bas                                  ;ENERGIE HYDROELECTRIQUE DE CHARRITTE;385628;6251420;0;Ouvrage fonctionnant au fil de l'eau;;2120482;;;;;;;5
64188001;Centrale de Barragary;EXPL;64188;Chéraute                                          ;ETABLISSEMENTS BEGUERIE;385402;6245590;0;Ouvrage fonctionnant au fil de l'eau;;1636427;;;;;Autorisée;;4,18
64191001;Usine hydroélectrique de Coarraze;EXPL;64191;Coarraze                                          ;S.N.C. TOURNIER;436862;6235590;0;Ouvrage fonctionnant au fil de l'eau;0,32;1658400;;;;;;;3,4
64201001;Dognen;EXPL;64201;Dognen                                            ;S.A.R.L. CHEDD;396230;6250000;0;Ouvrage fonctionnant au fil de l'eau;0,812;3257067;19;;1;Kaplan;;;3,2
64204001;ASSOUSTE;EXPL;64204;Eaux-Bonnes                                       ;SOCIETE HYDRO ELECTRIQUE DU MIDI;422309;6214500;0;Ouvrage fonctionnant au fil de l'eau;1,8;4511681;3,1;;1;Francis;Concédée (autorisable);;58
64204002;EAUX BONNES;EXPL;64204;Eaux-Bonnes                                       ;SOCIETE HYDRO ELECTRIQUE DU MIDI;423108;6214260;0;Ouvrage fonctionnant par éclusées;3,2;9727784;3,1;;1;Francis;Concédée;;122
64204003;Centrale du Pont du Goua;EXPL;64204;Eaux-Bonnes                                       ;SARL TRIBOULY;426829;6212950;0;Ouvrage fonctionnant au fil de l'eau;;1558051;;;;;;;78,88
64247001;Centrale de Libarrenx;EXPL;64247;Gotein-Libarrenx                                  ;ENERGIE HYDROELECTRIQUE DE SOULE;382723;6241780;0;Ouvrage fonctionnant au fil de l'eau;0,3;1302198;;;;;;;9
64247002;Centrale de Gotein;EXPL;64247;Gotein-Libarrenx                                  ;SOC. HYDROELECTRIQUE DE GOTEIN;382619;6239050;0;Ouvrage fonctionnant au fil de l'eau;;998533;;;;;;;5
64252001;Centrale de Gurmencon;EXPL;64252;Gurmençon                                         ;FORCES MOTRICES DE GURMENCON;407765;6234790;0;Ouvrage fonctionnant au fil de l'eau;26,01;8447763;26;;2;Francis double;;;10
64252002;SOEIX (groupe de restitution);EXPL;64252;Gurmençon                                         ;ELECTRICITE DE FRANCE;407907;6235610;0;Ouvrage fonctionnant au fil de l'eau;0,252;1300;3,45;0,016;1;Kaplan;Autorisée;16/10/2024;7,15
64255001;HALSOU;EXPL;64255;Halsou                                            ;ELECTRICITE DE FRANCE;341219;6262850;0;Ouvrage fonctionnant au fil de l'eau;1;3436188;30;0,008;3;Francis;Autorisée;31/12/2003;6,8
64270001;Centrale d'Igon;EXPL;64270;Igon                                              ;SEEMCO S.A.R.L.;436474;6234930;0;Ouvrage fonctionnant au fil de l'eau;0,16;900852;;;;;;;9,94
64279001;ITXASSOU;EXPL;64279;Itxassou                                          ;ELECTRICITE DE FRANCE;343081;6257100;0;Ouvrage fonctionnant au fil de l'eau;0,7;1917250;22;0,008;2;Kaplan;Autorisée;16/10/1994;7,3
64316001;OLHADOKO;EXPL;64316;Larrau                                            ;SOCIETE HYDRO ELECTRIQUE DU MIDI;379593;6220970;0;Ouvrage fonctionnant par éclusées;9,7;28183900;2,77;1,02;1;Pelton;Concédée;01/01/2036;427,4
64320001;HOURAT;EXPL;64320;Laruns                                            ;SOCIETE HYDRO ELECTRIQUE DU MIDI;420191;6215400;0;Ouvrage fonctionnant par éclusées;49,5;144566416;23;0,49;2;Francis;Concédée;31/12/2012;212,26
64320002;MIEGEBAT;EXPL;64320;Laruns                                            ;SOCIETE HYDRO ELECTRIQUE DU MIDI;418479;6209790;0;Ouvrage fonctionnant par éclusées;82,5;226671936;26;0,88;3;Pelton;Concédée;31/12/2012;398,5
64320003;PONT DE CAMPS;EXPL;64320;Laruns                                            ;SOCIETE HYDRO ELECTRIQUE DU MIDI;422582;6202080;0;Ouvrage de type Lac;103,9;45340880;12;1,64;1;Pelton;Concédée;31/12/2012;739,65
